date,Rate of Covid-19 cases in the community,Rate of Covid-19 cases in prisons
Jan-20,0.003,0
Feb-20,0.074,0
Mar-20,58.844,95.121
Apr-20,211.91,373.894
May-20,121.521,116.311
Jun-20,46.129,44.084
Jul-20,33.727,22.624
Aug-20,51.506,27.718
Sep-20,227.371,111.198
Oct-20,861.986,1248.465
Nov-20,934.769,2463.617
Dec-20,"1,574.26",3204.101
Jan-21,"1,881.52",6309.067
Feb-21,511.541,4920.957
Mar-21,250.578,2020.978
Apr-21,114.955,192.656
,,
England_pop,"56,286,961",
Wales_pop,"3,152,879",
E&W_pop,"59,439,840",
